name,owner,organization,lang,url,created_at,description,stars,pushed_at
node-webkit,rogerwang,,C++,https://github.com/rogerwang/node-webkit,2012-01-04 06:21:10,Call all Node.js modules directly from DOM and enable a new way of writing applications with all Web technologies.,18245,2014-12-30 14:02:57
docker,docker,docker,Go,https://github.com/docker/docker,2013-01-18 18:10:57,Docker - the open-source application container engine,18057,2015-01-01 16:49:29
jekyll,jekyll,jekyll,Ruby,https://github.com/jekyll/jekyll,2008-10-20 06:29:03,"Jekyll is a blog-aware, static site generator in Ruby",17917,2014-12-30 04:38:38
three.js,mrdoob,,JavaScript,https://github.com/mrdoob/three.js,2010-03-23 18:58:01,JavaScript 3D library.,17666,2014-12-31 13:47:36
meteor,meteor,meteor,JavaScript,https://github.com/meteor/meteor,2012-01-19 01:58:17,"To be counted in the 2014 Meteor Challenge (http://challenge.meteor.com), please click the ""Star"" button ^ in the upper-right corner of this page. Meteor is an ultra-simple, database-everywhere, data-on-the-wire, pure-Javascript web framework.",17130,2014-07-01 19:05:10
express,strongloop,strongloop,JavaScript,https://github.com/strongloop/express,2009-06-26 18:56:01,"Fast, unopinionated, minimalist web framework for node.",16904,2014-12-16 05:20:19
chosen,harvesthq,harvesthq,CoffeeScript,https://github.com/harvesthq/chosen,2011-04-18 15:07:41,"Chosen is a library for making long, unwieldy select boxes more friendly.",16787,2014-12-22 22:27:52
Font-Awesome,FortAwesome,FortAwesome,Ruby,https://github.com/FortAwesome/Font-Awesome,2012-02-17 14:19:43,The iconic font designed for Bootstrap,16489,2013-07-19 15:10:19
impress.js,,,JavaScript,https://github.com//impress.js,2011-12-28 22:23:19,It's a presentation framework based on the power of CSS3 transforms and transitions in modern browsers and inspired by the idea behind prezi.com.,16029,2013-06-03 16:28:39
CosmosBrowserBackend,Rohfosho,,JavaScript,https://github.com/Rohfosho/CosmosBrowserBackend,2014-09-11 03:16:44,,15944,2014-11-04 14:04:17
chosen,harvesthq,harvesthq,JavaScript,https://github.com/harvesthq/chosen,2011-04-18 15:07:41,"Chosen is a library for making long, unwieldy select boxes more friendly.",15788,2014-06-24 07:19:37
express,strongloop,strongloop,JavaScript,https://github.com/strongloop/express,2009-06-26 18:56:01,"Sinatra inspired web development framework for node.js -- insanely fast, flexible, and simple",15782,2014-09-25 00:19:08
foundation,zurb,zurb,JavaScript,https://github.com/zurb/foundation,2011-10-13 23:05:42,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites and apps that work on any kind of device.,15181,2013-12-24 01:10:38
AFNetworking,AFNetworking,AFNetworking,Objective-C,https://github.com/AFNetworking/AFNetworking,2011-05-31 21:28:44,A delightful iOS and OS X networking framework,15106,2014-12-21 23:02:40
d3,,,JavaScript,https://github.com//d3,2010-09-27 17:22:42,A JavaScript visualization library for HTML and SVG.,15062,2013-05-13 22:13:40
homebrew,mxcl,,Ruby,https://github.com/mxcl/homebrew,2009-05-20 19:38:37,The missing package manager for OS X.,15027,2013-12-13 18:54:33
express,visionmedia,,JavaScript,https://github.com/visionmedia/express,2009-06-26 18:56:01,"Sinatra inspired web development framework for node.js -- insanely fast, flexible, and simple",14948,2014-07-27 20:01:01
normalize.css,necolas,,CSS,https://github.com/necolas/normalize.css,2011-05-04 10:20:25,A collection of HTML element and attribute style-normalizations,14872,2014-10-06 16:07:47
backbone,documentcloud,documentcloud,JavaScript,https://github.com/documentcloud/backbone,2010-09-30 19:41:28,"Give your JS App some Backbone with Models, Views, Collections, and Events",14813,2013-07-06 12:01:46
resume.github.com,resume,resume,JavaScript,https://github.com/resume/resume.github.com,2011-02-06 13:39:55,Resumes generated using the GitHub informations,14633,2013-12-06 17:40:59
gitlabhq,gitlabhq,gitlabhq,Ruby,https://github.com/gitlabhq/gitlabhq,2011-10-02 16:25:27,Open source software to collaborate on code. Follow us on twitter @gitlabhq,14558,2014-12-30 22:57:08
Font-Awesome,,FortAwesome,Ruby,https://github.com//Font-Awesome,2012-02-17 14:19:43,The iconic font designed for Bootstrap,14547,2013-06-04 19:37:27
socket.io,Automattic,Automattic,JavaScript,https://github.com/Automattic/socket.io,2010-03-11 18:24:48,Realtime application framework (Node.JS server),14484,2014-12-08 09:20:30
html5-boilerplate,h5bp,h5bp,JavaScript,https://github.com/h5bp/html5-boilerplate,2010-01-24 18:03:24,"A professional front-end template that helps you build fast, robust, adaptable, and future-proof websites.",14364,2012-08-10 11:29:58
backbone,,documentcloud,JavaScript,https://github.com//backbone,2010-09-30 19:41:28,"Give your JS App some Backbone with Models, Views, Collections, and Events",14107,2013-05-08 05:33:38
Font-Awesome,FortAwesome,FortAwesome,JavaScript,https://github.com/FortAwesome/Font-Awesome,2012-02-17 14:19:43,The iconic font designed for Bootstrap,14035,2013-05-11 02:34:33
meteor,meteor,meteor,JavaScript,https://github.com/meteor/meteor,2012-01-19 01:58:17,"To be counted with the 2014 Meteor Challenge (http://challenge.meteor.com), please click the ""Star"" button ^ in the upper-right corner of this page. Meteor is an ultra-simple, database-everywhere, data-on-the-wire, pure-Javascript web framework.",14029,2014-06-25 02:22:21
meteor,meteor,meteor,JavaScript,https://github.com/meteor/meteor,2012-01-19 01:58:17,"To be counted as part of the 2014 Meteor Challenge (challenge.meteor.com), please click the ""Star"" button ^ in the upper-right corner of this page. Meteor is an ultra-simple, database-everywhere, data-on-the-wire, pure-Javascript web framework.",14018,2014-06-25 01:26:29
Font-Awesome,,FortAwesome,JavaScript,https://github.com//Font-Awesome,2012-02-17 14:19:43,The iconic font designed for Bootstrap,14008,2013-05-11 02:34:33
Modernizr,Modernizr,Modernizr,JavaScript,https://github.com/Modernizr/Modernizr,2009-09-25 20:13:23,Modernizr is a JavaScript library that detects HTML5 and CSS3 features in the user���s browser.,14007,2015-01-01 03:36:07
meteor,meteor,meteor,JavaScript,https://github.com/meteor/meteor,2012-01-19 01:58:17,"To be counted as part of the Meteor Challenge (challenge.meteor.com), please click the ""Star"" button ^ in the upper-right corner of this page. Meteor is an ultra-simple, database-everywhere, data-on-the-wire, pure-Javascript web framework.",13898,2014-06-24 21:28:27
meteor,meteor,meteor,JavaScript,https://github.com/meteor/meteor,2012-01-19 01:58:17,"Welcome! If you came here via the Meteor Challenge (challenge.meteor.com), please click the ""Star"" button ^ in the upper-right corner of this page to be counted. Meteor is an ultra-simple, database-everywhere, data-on-the-wire, pure-Javascript web framework.",13897,2014-06-24 21:28:27
meteor,meteor,meteor,JavaScript,https://github.com/meteor/meteor,2012-01-19 01:58:17,"Welcome! If you came here via the Meteor Challenge (challenge.meteor.com), click the ""Star"" button in the upper-right corner of this page to be counted. Meteor is an ultra-simple, database-everywhere, data-on-the-wire, pure-Javascript web framework.",13889,2014-06-24 21:28:27
